location,target_end_date,target,output_type,output_type_id,oracle_value
23,2022-10-29,wk inc flu hosp,quantile,NA,3
24,2022-10-29,wk inc flu hosp,quantile,NA,109
25,2022-10-29,wk inc flu hosp,quantile,NA,14
26,2022-10-29,wk inc flu hosp,quantile,NA,46
27,2022-10-29,wk inc flu hosp,quantile,NA,43
28,2022-10-29,wk inc flu hosp,quantile,NA,165
29,2022-10-29,wk inc flu hosp,quantile,NA,56
30,2022-10-29,wk inc flu hosp,quantile,NA,5
31,2022-10-29,wk inc flu hosp,quantile,NA,16
32,2022-10-29,wk inc flu hosp,quantile,NA,12
33,2022-10-29,wk inc flu hosp,quantile,NA,0
34,2022-10-29,wk inc flu hosp,quantile,NA,76
35,2022-10-29,wk inc flu hosp,quantile,NA,56
36,2022-10-29,wk inc flu hosp,quantile,NA,107
37,2022-10-29,wk inc flu hosp,quantile,NA,211
38,2022-10-29,wk inc flu hosp,quantile,NA,2
39,2022-10-29,wk inc flu hosp,quantile,NA,115
40,2022-10-29,wk inc flu hosp,quantile,NA,59
41,2022-10-29,wk inc flu hosp,quantile,NA,5
42,2022-10-29,wk inc flu hosp,quantile,NA,179
44,2022-10-29,wk inc flu hosp,quantile,NA,0
45,2022-10-29,wk inc flu hosp,quantile,NA,163
46,2022-10-29,wk inc flu hosp,quantile,NA,9
47,2022-10-29,wk inc flu hosp,quantile,NA,130
48,2022-10-29,wk inc flu hosp,quantile,NA,744
49,2022-10-29,wk inc flu hosp,quantile,NA,11
50,2022-10-29,wk inc flu hosp,quantile,NA,1
51,2022-10-29,wk inc flu hosp,quantile,NA,186
53,2022-10-29,wk inc flu hosp,quantile,NA,35
54,2022-10-29,wk inc flu hosp,quantile,NA,66
55,2022-10-29,wk inc flu hosp,quantile,NA,17
56,2022-10-29,wk inc flu hosp,quantile,NA,5
72,2022-10-29,wk inc flu hosp,quantile,NA,76
US,2022-11-05,wk inc flu hosp,quantile,NA,6571
01,2022-11-05,wk inc flu hosp,quantile,NA,360
02,2022-11-05,wk inc flu hosp,quantile,NA,10
04,2022-11-05,wk inc flu hosp,quantile,NA,84
05,2022-11-05,wk inc flu hosp,quantile,NA,141
06,2022-11-05,wk inc flu hosp,quantile,NA,456
08,2022-11-05,wk inc flu hosp,quantile,NA,32
09,2022-11-05,wk inc flu hosp,quantile,NA,41
10,2022-11-05,wk inc flu hosp,quantile,NA,11
11,2022-11-05,wk inc flu hosp,quantile,NA,36
12,2022-11-05,wk inc flu hosp,quantile,NA,304
13,2022-11-05,wk inc flu hosp,quantile,NA,217
15,2022-11-05,wk inc flu hosp,quantile,NA,8
16,2022-11-05,wk inc flu hosp,quantile,NA,20
17,2022-11-05,wk inc flu hosp,quantile,NA,181
18,2022-11-05,wk inc flu hosp,quantile,NA,149
19,2022-11-05,wk inc flu hosp,quantile,NA,16
20,2022-11-05,wk inc flu hosp,quantile,NA,37
21,2022-11-05,wk inc flu hosp,quantile,NA,139
22,2022-11-05,wk inc flu hosp,quantile,NA,170
23,2022-11-05,wk inc flu hosp,quantile,NA,3
24,2022-11-05,wk inc flu hosp,quantile,NA,165
25,2022-11-05,wk inc flu hosp,quantile,NA,31
26,2022-11-05,wk inc flu hosp,quantile,NA,59
27,2022-11-05,wk inc flu hosp,quantile,NA,85
28,2022-11-05,wk inc flu hosp,quantile,NA,255
29,2022-11-05,wk inc flu hosp,quantile,NA,71
30,2022-11-05,wk inc flu hosp,quantile,NA,5
31,2022-11-05,wk inc flu hosp,quantile,NA,28
32,2022-11-05,wk inc flu hosp,quantile,NA,31
33,2022-11-05,wk inc flu hosp,quantile,NA,3
34,2022-11-05,wk inc flu hosp,quantile,NA,183
35,2022-11-05,wk inc flu hosp,quantile,NA,97
36,2022-11-05,wk inc flu hosp,quantile,NA,206
37,2022-11-05,wk inc flu hosp,quantile,NA,281
38,2022-11-05,wk inc flu hosp,quantile,NA,5
39,2022-11-05,wk inc flu hosp,quantile,NA,211
40,2022-11-05,wk inc flu hosp,quantile,NA,46
41,2022-11-05,wk inc flu hosp,quantile,NA,46
42,2022-11-05,wk inc flu hosp,quantile,NA,238
44,2022-11-05,wk inc flu hosp,quantile,NA,3
45,2022-11-05,wk inc flu hosp,quantile,NA,258
46,2022-11-05,wk inc flu hosp,quantile,NA,9
47,2022-11-05,wk inc flu hosp,quantile,NA,261
48,2022-11-05,wk inc flu hosp,quantile,NA,984
49,2022-11-05,wk inc flu hosp,quantile,NA,5
50,2022-11-05,wk inc flu hosp,quantile,NA,1
51,2022-11-05,wk inc flu hosp,quantile,NA,315
53,2022-11-05,wk inc flu hosp,quantile,NA,42
54,2022-11-05,wk inc flu hosp,quantile,NA,84
55,2022-11-05,wk inc flu hosp,quantile,NA,34
56,2022-11-05,wk inc flu hosp,quantile,NA,8
72,2022-11-05,wk inc flu hosp,quantile,NA,106
US,2022-11-12,wk inc flu hosp,quantile,NA,8848
01,2022-11-12,wk inc flu hosp,quantile,NA,303
02,2022-11-12,wk inc flu hosp,quantile,NA,20
04,2022-11-12,wk inc flu hosp,quantile,NA,153
05,2022-11-12,wk inc flu hosp,quantile,NA,212
06,2022-11-12,wk inc flu hosp,quantile,NA,928
08,2022-11-12,wk inc flu hosp,quantile,NA,61
09,2022-11-12,wk inc flu hosp,quantile,NA,58
10,2022-11-12,wk inc flu hosp,quantile,NA,15
11,2022-11-12,wk inc flu hosp,quantile,NA,44
12,2022-11-12,wk inc flu hosp,quantile,NA,490
13,2022-11-12,wk inc flu hosp,quantile,NA,250
15,2022-11-12,wk inc flu hosp,quantile,NA,25
16,2022-11-12,wk inc flu hosp,quantile,NA,14
17,2022-11-12,wk inc flu hosp,quantile,NA,276
18,2022-11-12,wk inc flu hosp,quantile,NA,141
19,2022-11-12,wk inc flu hosp,quantile,NA,23
20,2022-11-12,wk inc flu hosp,quantile,NA,49
21,2022-11-12,wk inc flu hosp,quantile,NA,227
22,2022-11-12,wk inc flu hosp,quantile,NA,167
23,2022-11-12,wk inc flu hosp,quantile,NA,11
24,2022-11-12,wk inc flu hosp,quantile,NA,224
25,2022-11-12,wk inc flu hosp,quantile,NA,43
26,2022-11-12,wk inc flu hosp,quantile,NA,90
27,2022-11-12,wk inc flu hosp,quantile,NA,182
28,2022-11-12,wk inc flu hosp,quantile,NA,258
29,2022-11-12,wk inc flu hosp,quantile,NA,115
30,2022-11-12,wk inc flu hosp,quantile,NA,12
31,2022-11-12,wk inc flu hosp,quantile,NA,21
32,2022-11-12,wk inc flu hosp,quantile,NA,80
33,2022-11-12,wk inc flu hosp,quantile,NA,5
34,2022-11-12,wk inc flu hosp,quantile,NA,309
35,2022-11-12,wk inc flu hosp,quantile,NA,154
36,2022-11-12,wk inc flu hosp,quantile,NA,300
37,2022-11-12,wk inc flu hosp,quantile,NA,371
38,2022-11-12,wk inc flu hosp,quantile,NA,10
39,2022-11-12,wk inc flu hosp,quantile,NA,244
40,2022-11-12,wk inc flu hosp,quantile,NA,85
41,2022-11-12,wk inc flu hosp,quantile,NA,45
42,2022-11-12,wk inc flu hosp,quantile,NA,366
44,2022-11-12,wk inc flu hosp,quantile,NA,6
45,2022-11-12,wk inc flu hosp,quantile,NA,254
46,2022-11-12,wk inc flu hosp,quantile,NA,13
47,2022-11-12,wk inc flu hosp,quantile,NA,317
48,2022-11-12,wk inc flu hosp,quantile,NA,1129
49,2022-11-12,wk inc flu hosp,quantile,NA,14
50,2022-11-12,wk inc flu hosp,quantile,NA,0
51,2022-11-12,wk inc flu hosp,quantile,NA,339
53,2022-11-12,wk inc flu hosp,quantile,NA,105
54,2022-11-12,wk inc flu hosp,quantile,NA,130
55,2022-11-12,wk inc flu hosp,quantile,NA,50
56,2022-11-12,wk inc flu hosp,quantile,NA,13
72,2022-11-12,wk inc flu hosp,quantile,NA,97
US,2022-11-19,wk inc flu hosp,quantile,NA,11427
01,2022-11-19,wk inc flu hosp,quantile,NA,226
02,2022-11-19,wk inc flu hosp,quantile,NA,38
04,2022-11-19,wk inc flu hosp,quantile,NA,339
05,2022-11-19,wk inc flu hosp,quantile,NA,218
06,2022-11-19,wk inc flu hosp,quantile,NA,1616
08,2022-11-19,wk inc flu hosp,quantile,NA,114
09,2022-11-19,wk inc flu hosp,quantile,NA,104
10,2022-11-19,wk inc flu hosp,quantile,NA,53
11,2022-11-19,wk inc flu hosp,quantile,NA,35
12,2022-11-19,wk inc flu hosp,quantile,NA,504
13,2022-11-19,wk inc flu hosp,quantile,NA,193
15,2022-11-19,wk inc flu hosp,quantile,NA,10
16,2022-11-19,wk inc flu hosp,quantile,NA,60
17,2022-11-19,wk inc flu hosp,quantile,NA,447
18,2022-11-19,wk inc flu hosp,quantile,NA,264
19,2022-11-19,wk inc flu hosp,quantile,NA,37
20,2022-11-19,wk inc flu hosp,quantile,NA,68
21,2022-11-19,wk inc flu hosp,quantile,NA,313
22,2022-11-19,wk inc flu hosp,quantile,NA,177
23,2022-11-19,wk inc flu hosp,quantile,NA,14
24,2022-11-19,wk inc flu hosp,quantile,NA,218
25,2022-11-19,wk inc flu hosp,quantile,NA,79
26,2022-11-19,wk inc flu hosp,quantile,NA,193
27,2022-11-19,wk inc flu hosp,quantile,NA,268
28,2022-11-19,wk inc flu hosp,quantile,NA,243
29,2022-11-19,wk inc flu hosp,quantile,NA,221
30,2022-11-19,wk inc flu hosp,quantile,NA,12
31,2022-11-19,wk inc flu hosp,quantile,NA,43
32,2022-11-19,wk inc flu hosp,quantile,NA,157
33,2022-11-19,wk inc flu hosp,quantile,NA,7
34,2022-11-19,wk inc flu hosp,quantile,NA,324
35,2022-11-19,wk inc flu hosp,quantile,NA,159
36,2022-11-19,wk inc flu hosp,quantile,NA,508
37,2022-11-19,wk inc flu hosp,quantile,NA,369
38,2022-11-19,wk inc flu hosp,quantile,NA,12
39,2022-11-19,wk inc flu hosp,quantile,NA,329
40,2022-11-19,wk inc flu hosp,quantile,NA,177
41,2022-11-19,wk inc flu hosp,quantile,NA,129
42,2022-11-19,wk inc flu hosp,quantile,NA,438
44,2022-11-19,wk inc flu hosp,quantile,NA,3
45,2022-11-19,wk inc flu hosp,quantile,NA,215
46,2022-11-19,wk inc flu hosp,quantile,NA,28
47,2022-11-19,wk inc flu hosp,quantile,NA,300
48,2022-11-19,wk inc flu hosp,quantile,NA,1230
49,2022-11-19,wk inc flu hosp,quantile,NA,8
50,2022-11-19,wk inc flu hosp,quantile,NA,2
51,2022-11-19,wk inc flu hosp,quantile,NA,273
53,2022-11-19,wk inc flu hosp,quantile,NA,270
54,2022-11-19,wk inc flu hosp,quantile,NA,135
55,2022-11-19,wk inc flu hosp,quantile,NA,109
56,2022-11-19,wk inc flu hosp,quantile,NA,47
72,2022-11-19,wk inc flu hosp,quantile,NA,91
US,2022-11-26,wk inc flu hosp,quantile,NA,19846
01,2022-11-26,wk inc flu hosp,quantile,NA,261
02,2022-11-26,wk inc flu hosp,quantile,NA,66
04,2022-11-26,wk inc flu hosp,quantile,NA,612
05,2022-11-26,wk inc flu hosp,quantile,NA,435
06,2022-11-26,wk inc flu hosp,quantile,NA,2790
08,2022-11-26,wk inc flu hosp,quantile,NA,157
09,2022-11-26,wk inc flu hosp,quantile,NA,199
10,2022-11-26,wk inc flu hosp,quantile,NA,48
11,2022-11-26,wk inc flu hosp,quantile,NA,70
12,2022-11-26,wk inc flu hosp,quantile,NA,803
13,2022-11-26,wk inc flu hosp,quantile,NA,251
15,2022-11-26,wk inc flu hosp,quantile,NA,12
16,2022-11-26,wk inc flu hosp,quantile,NA,155
17,2022-11-26,wk inc flu hosp,quantile,NA,915
18,2022-11-26,wk inc flu hosp,quantile,NA,505
19,2022-11-26,wk inc flu hosp,quantile,NA,139
20,2022-11-26,wk inc flu hosp,quantile,NA,187
21,2022-11-26,wk inc flu hosp,quantile,NA,603
22,2022-11-26,wk inc flu hosp,quantile,NA,240
23,2022-11-26,wk inc flu hosp,quantile,NA,34
24,2022-11-26,wk inc flu hosp,quantile,NA,332
25,2022-11-26,wk inc flu hosp,quantile,NA,221
26,2022-11-26,wk inc flu hosp,quantile,NA,313
27,2022-11-26,wk inc flu hosp,quantile,NA,382
28,2022-11-26,wk inc flu hosp,quantile,NA,282
29,2022-11-26,wk inc flu hosp,quantile,NA,548
30,2022-11-26,wk inc flu hosp,quantile,NA,50
31,2022-11-26,wk inc flu hosp,quantile,NA,62
32,2022-11-26,wk inc flu hosp,quantile,NA,252
33,2022-11-26,wk inc flu hosp,quantile,NA,12
34,2022-11-26,wk inc flu hosp,quantile,NA,581
35,2022-11-26,wk inc flu hosp,quantile,NA,190
36,2022-11-26,wk inc flu hosp,quantile,NA,871
37,2022-11-26,wk inc flu hosp,quantile,NA,467
38,2022-11-26,wk inc flu hosp,quantile,NA,28
39,2022-11-26,wk inc flu hosp,quantile,NA,646
40,2022-11-26,wk inc flu hosp,quantile,NA,426
41,2022-11-26,wk inc flu hosp,quantile,NA,406
42,2022-11-26,wk inc flu hosp,quantile,NA,825
44,2022-11-26,wk inc flu hosp,quantile,NA,16
45,2022-11-26,wk inc flu hosp,quantile,NA,233
46,2022-11-26,wk inc flu hosp,quantile,NA,63
47,2022-11-26,wk inc flu hosp,quantile,NA,534
48,2022-11-26,wk inc flu hosp,quantile,NA,1929
49,2022-11-26,wk inc flu hosp,quantile,NA,29
50,2022-11-26,wk inc flu hosp,quantile,NA,15
51,2022-11-26,wk inc flu hosp,quantile,NA,440
53,2022-11-26,wk inc flu hosp,quantile,NA,605
54,2022-11-26,wk inc flu hosp,quantile,NA,209
55,2022-11-26,wk inc flu hosp,quantile,NA,255
56,2022-11-26,wk inc flu hosp,quantile,NA,45
72,2022-11-26,wk inc flu hosp,quantile,NA,97
US,2022-12-03,wk inc flu hosp,quantile,NA,26333
01,2022-12-03,wk inc flu hosp,quantile,NA,351
02,2022-12-03,wk inc flu hosp,quantile,NA,58
04,2022-12-03,wk inc flu hosp,quantile,NA,821
05,2022-12-03,wk inc flu hosp,quantile,NA,468
06,2022-12-03,wk inc flu hosp,quantile,NA,3138
08,2022-12-03,wk inc flu hosp,quantile,NA,160
09,2022-12-03,wk inc flu hosp,quantile,NA,424
10,2022-12-03,wk inc flu hosp,quantile,NA,79
11,2022-12-03,wk inc flu hosp,quantile,NA,56
12,2022-12-03,wk inc flu hosp,quantile,NA,896
13,2022-12-03,wk inc flu hosp,quantile,NA,252
15,2022-12-03,wk inc flu hosp,quantile,NA,12
16,2022-12-03,wk inc flu hosp,quantile,NA,189
17,2022-12-03,wk inc flu hosp,quantile,NA,1125
18,2022-12-03,wk inc flu hosp,quantile,NA,826
19,2022-12-03,wk inc flu hosp,quantile,NA,201
20,2022-12-03,wk inc flu hosp,quantile,NA,303
21,2022-12-03,wk inc flu hosp,quantile,NA,807
22,2022-12-03,wk inc flu hosp,quantile,NA,294
23,2022-12-03,wk inc flu hosp,quantile,NA,110
24,2022-12-03,wk inc flu hosp,quantile,NA,405
25,2022-12-03,wk inc flu hosp,quantile,NA,446
26,2022-12-03,wk inc flu hosp,quantile,NA,485
27,2022-12-03,wk inc flu hosp,quantile,NA,447
28,2022-12-03,wk inc flu hosp,quantile,NA,258
29,2022-12-03,wk inc flu hosp,quantile,NA,861
30,2022-12-03,wk inc flu hosp,quantile,NA,71
31,2022-12-03,wk inc flu hosp,quantile,NA,97
32,2022-12-03,wk inc flu hosp,quantile,NA,397
33,2022-12-03,wk inc flu hosp,quantile,NA,36
34,2022-12-03,wk inc flu hosp,quantile,NA,892
35,2022-12-03,wk inc flu hosp,quantile,NA,371
36,2022-12-03,wk inc flu hosp,quantile,NA,1350
37,2022-12-03,wk inc flu hosp,quantile,NA,600
38,2022-12-03,wk inc flu hosp,quantile,NA,49
39,2022-12-03,wk inc flu hosp,quantile,NA,966
40,2022-12-03,wk inc flu hosp,quantile,NA,829
41,2022-12-03,wk inc flu hosp,quantile,NA,546
42,2022-12-03,wk inc flu hosp,quantile,NA,1330
44,2022-12-03,wk inc flu hosp,quantile,NA,26
45,2022-12-03,wk inc flu hosp,quantile,NA,223
46,2022-12-03,wk inc flu hosp,quantile,NA,70
47,2022-12-03,wk inc flu hosp,quantile,NA,660
48,2022-12-03,wk inc flu hosp,quantile,NA,2139
49,2022-12-03,wk inc flu hosp,quantile,NA,36
50,2022-12-03,wk inc flu hosp,quantile,NA,34
51,2022-12-03,wk inc flu hosp,quantile,NA,469
53,2022-12-03,wk inc flu hosp,quantile,NA,716
54,2022-12-03,wk inc flu hosp,quantile,NA,320
55,2022-12-03,wk inc flu hosp,quantile,NA,474
56,2022-12-03,wk inc flu hosp,quantile,NA,73
72,2022-12-03,wk inc flu hosp,quantile,NA,87
US,2022-12-10,wk inc flu hosp,quantile,NA,23851
01,2022-12-10,wk inc flu hosp,quantile,NA,223
02,2022-12-10,wk inc flu hosp,quantile,NA,77
04,2022-12-10,wk inc flu hosp,quantile,NA,759
05,2022-12-10,wk inc flu hosp,quantile,NA,331
06,2022-12-10,wk inc flu hosp,quantile,NA,2275
08,2022-12-10,wk inc flu hosp,quantile,NA,243
09,2022-12-10,wk inc flu hosp,quantile,NA,419
10,2022-12-10,wk inc flu hosp,quantile,NA,28
11,2022-12-10,wk inc flu hosp,quantile,NA,42
12,2022-12-10,wk inc flu hosp,quantile,NA,789
13,2022-12-10,wk inc flu hosp,quantile,NA,172
15,2022-12-10,wk inc flu hosp,quantile,NA,11
16,2022-12-10,wk inc flu hosp,quantile,NA,195
17,2022-12-10,wk inc flu hosp,quantile,NA,973
18,2022-12-10,wk inc flu hosp,quantile,NA,851
19,2022-12-10,wk inc flu hosp,quantile,NA,235
20,2022-12-10,wk inc flu hosp,quantile,NA,253
21,2022-12-10,wk inc flu hosp,quantile,NA,691
22,2022-12-10,wk inc flu hosp,quantile,NA,253
23,2022-12-10,wk inc flu hosp,quantile,NA,120
24,2022-12-10,wk inc flu hosp,quantile,NA,319
25,2022-12-10,wk inc flu hosp,quantile,NA,578
26,2022-12-10,wk inc flu hosp,quantile,NA,601
27,2022-12-10,wk inc flu hosp,quantile,NA,325
28,2022-12-10,wk inc flu hosp,quantile,NA,171
29,2022-12-10,wk inc flu hosp,quantile,NA,861
30,2022-12-10,wk inc flu hosp,quantile,NA,104
31,2022-12-10,wk inc flu hosp,quantile,NA,133
32,2022-12-10,wk inc flu hosp,quantile,NA,366
33,2022-12-10,wk inc flu hosp,quantile,NA,73
34,2022-12-10,wk inc flu hosp,quantile,NA,738
35,2022-12-10,wk inc flu hosp,quantile,NA,417
36,2022-12-10,wk inc flu hosp,quantile,NA,1531
37,2022-12-10,wk inc flu hosp,quantile,NA,385
38,2022-12-10,wk inc flu hosp,quantile,NA,59
39,2022-12-10,wk inc flu hosp,quantile,NA,952
40,2022-12-10,wk inc flu hosp,quantile,NA,871
41,2022-12-10,wk inc flu hosp,quantile,NA,698
42,2022-12-10,wk inc flu hosp,quantile,NA,1180
44,2022-12-10,wk inc flu hosp,quantile,NA,50
45,2022-12-10,wk inc flu hosp,quantile,NA,163
46,2022-12-10,wk inc flu hosp,quantile,NA,85
47,2022-12-10,wk inc flu hosp,quantile,NA,462
48,2022-12-10,wk inc flu hosp,quantile,NA,1781
49,2022-12-10,wk inc flu hosp,quantile,NA,64
50,2022-12-10,wk inc flu hosp,quantile,NA,45
51,2022-12-10,wk inc flu hosp,quantile,NA,338
53,2022-12-10,wk inc flu hosp,quantile,NA,707
54,2022-12-10,wk inc flu hosp,quantile,NA,236
55,2022-12-10,wk inc flu hosp,quantile,NA,478
56,2022-12-10,wk inc flu hosp,quantile,NA,52
72,2022-12-10,wk inc flu hosp,quantile,NA,88
US,2022-12-17,wk inc flu hosp,quantile,NA,21435
01,2022-12-17,wk inc flu hosp,quantile,NA,143
02,2022-12-17,wk inc flu hosp,quantile,NA,45
04,2022-12-17,wk inc flu hosp,quantile,NA,563
05,2022-12-17,wk inc flu hosp,quantile,NA,234
06,2022-12-17,wk inc flu hosp,quantile,NA,1576
08,2022-12-17,wk inc flu hosp,quantile,NA,255
09,2022-12-17,wk inc flu hosp,quantile,NA,352
10,2022-12-17,wk inc flu hosp,quantile,NA,27
11,2022-12-17,wk inc flu hosp,quantile,NA,20
12,2022-12-17,wk inc flu hosp,quantile,NA,891
13,2022-12-17,wk inc flu hosp,quantile,NA,138
15,2022-12-17,wk inc flu hosp,quantile,NA,17
16,2022-12-17,wk inc flu hosp,quantile,NA,285
17,2022-12-17,wk inc flu hosp,quantile,NA,744
18,2022-12-17,wk inc flu hosp,quantile,NA,686
19,2022-12-17,wk inc flu hosp,quantile,NA,352
20,2022-12-17,wk inc flu hosp,quantile,NA,220
21,2022-12-17,wk inc flu hosp,quantile,NA,419
22,2022-12-17,wk inc flu hosp,quantile,NA,146
23,2022-12-17,wk inc flu hosp,quantile,NA,196
24,2022-12-17,wk inc flu hosp,quantile,NA,278
25,2022-12-17,wk inc flu hosp,quantile,NA,694
26,2022-12-17,wk inc flu hosp,quantile,NA,1001
27,2022-12-17,wk inc flu hosp,quantile,NA,236
28,2022-12-17,wk inc flu hosp,quantile,NA,133
29,2022-12-17,wk inc flu hosp,quantile,NA,717
30,2022-12-17,wk inc flu hosp,quantile,NA,96
31,2022-12-17,wk inc flu hosp,quantile,NA,173
32,2022-12-17,wk inc flu hosp,quantile,NA,231
33,2022-12-17,wk inc flu hosp,quantile,NA,87
34,2022-12-17,wk inc flu hosp,quantile,NA,609
35,2022-12-17,wk inc flu hosp,quantile,NA,351
36,2022-12-17,wk inc flu hosp,quantile,NA,1741
37,2022-12-17,wk inc flu hosp,quantile,NA,316
38,2022-12-17,wk inc flu hosp,quantile,NA,95
39,2022-12-17,wk inc flu hosp,quantile,NA,982
40,2022-12-17,wk inc flu hosp,quantile,NA,764
41,2022-12-17,wk inc flu hosp,quantile,NA,652
42,2022-12-17,wk inc flu hosp,quantile,NA,1042
44,2022-12-17,wk inc flu hosp,quantile,NA,47
45,2022-12-17,wk inc flu hosp,quantile,NA,137
46,2022-12-17,wk inc flu hosp,quantile,NA,105
47,2022-12-17,wk inc flu hosp,quantile,NA,251
48,2022-12-17,wk inc flu hosp,quantile,NA,1462
49,2022-12-17,wk inc flu hosp,quantile,NA,41
50,2022-12-17,wk inc flu hosp,quantile,NA,66
51,2022-12-17,wk inc flu hosp,quantile,NA,285
53,2022-12-17,wk inc flu hosp,quantile,NA,713
54,2022-12-17,wk inc flu hosp,quantile,NA,199
55,2022-12-17,wk inc flu hosp,quantile,NA,498
56,2022-12-17,wk inc flu hosp,quantile,NA,35
72,2022-12-17,wk inc flu hosp,quantile,NA,89
US,2022-12-24,wk inc flu hosp,quantile,NA,19286
01,2022-12-24,wk inc flu hosp,quantile,NA,155
02,2022-12-24,wk inc flu hosp,quantile,NA,40
04,2022-12-24,wk inc flu hosp,quantile,NA,606
05,2022-12-24,wk inc flu hosp,quantile,NA,189
06,2022-12-24,wk inc flu hosp,quantile,NA,1580
08,2022-12-24,wk inc flu hosp,quantile,NA,350
09,2022-12-24,wk inc flu hosp,quantile,NA,275
10,2022-12-24,wk inc flu hosp,quantile,NA,29
11,2022-12-24,wk inc flu hosp,quantile,NA,26
12,2022-12-24,wk inc flu hosp,quantile,NA,982
13,2022-12-24,wk inc flu hosp,quantile,NA,162
15,2022-12-24,wk inc flu hosp,quantile,NA,31
16,2022-12-24,wk inc flu hosp,quantile,NA,195
17,2022-12-24,wk inc flu hosp,quantile,NA,563
18,2022-12-24,wk inc flu hosp,quantile,NA,588
19,2022-12-24,wk inc flu hosp,quantile,NA,331
20,2022-12-24,wk inc flu hosp,quantile,NA,187
21,2022-12-24,wk inc flu hosp,quantile,NA,268
22,2022-12-24,wk inc flu hosp,quantile,NA,141
